fund_id,product_code,asset_category,amount,allocation_pct,total_amount,as_of_date,source_page,method,pct_derived
FUND000003,KR5157450090,단기대출및예금,1142.0,1.15,99695.0,2025-10-01,67,cell_grid,False
FUND000003,KR5157450090,기타,624.0,0.63,99695.0,2025-10-01,67,cell_grid,False
FUND000020,KR5160420009,채권,1061552.0,64.56,1644172.0,2024-12-12,43,cell_grid,False
FUND000020,KR5160420009,어음,381094.0,23.18,1644172.0,2024-12-12,43,cell_grid,False
FUND000020,KR5160420009,단기대출및예금,110.0,0.01,1644172.0,2024-12-12,43,cell_grid,False
FUND000020,KR5160420009,기타,201417.0,12.25,1644172.0,2024-12-12,43,cell_grid,False
FUND000017,KR516702010M,집합투자증권,695.0,96.39,721.0,2025-05-20,32,cell_grid,False
FUND000017,KR516702010M,단기대출및예금,23.0,3.18,721.0,2025-05-20,32,cell_grid,False
FUND000017,KR516702010M,기타,3.0,0.43,721.0,2025-05-20,32,cell_grid,False
FUND000013,KR5169950018,집합투자증권,713.0,98.79,721.0,2025-07-11,54,cell_grid,False
FUND000013,KR5169950018,기타,9.0,1.21,721.0,2025-07-11,54,cell_grid,False
FUND000014,KR5172450019,주식,47142.0,97.39,48406.0,2025-03-31,40,pdf_simple_text,False
FUND000014,KR5172450019,집합투자증권,24.0,0.05,48406.0,2025-03-31,40,pdf_simple_text,False
FUND000014,KR5172450019,단기대출및예금,227.0,0.47,48406.0,2025-03-31,40,pdf_simple_text,False
FUND000014,KR5172450019,기타,1013.0,2.09,48406.0,2025-03-31,40,pdf_simple_text,False
FUND000019,KR5174420011,집합투자증권,468.0,98.37,476.0,2024-12-31,37,cell_grid,False
FUND000019,KR5174420011,단기대출및예금,8.0,1.63,476.0,2024-12-31,37,cell_grid,False
FUND000075,KR518101002M,채권,876.0,79.52,1101.0,2025-06-30,40,cell_grid,False
FUND000075,KR518101002M,어음,51.0,4.64,1101.0,2025-06-30,40,cell_grid,False
FUND000075,KR518101002M,집합투자증권,52.0,4.72,1101.0,2025-06-30,40,cell_grid,False
FUND000075,KR518101002M,단기대출및예금,123.0,11.13,1101.0,2025-06-30,40,cell_grid,False
FUND000092,KR518101012M,채권,1597.0,86.52,1845.0,2025-02-28,47,cell_grid,False
FUND000092,KR518101012M,어음,339.0,18.38,1845.0,2025-02-28,47,cell_grid,False
FUND000092,KR518101012M,집합투자증권,206.0,11.16,1845.0,2025-02-28,47,cell_grid,False
FUND000092,KR518101012M,단기대출및예금,174.0,9.41,1845.0,2025-02-28,47,cell_grid,False
FUND000092,KR518101012M,기타,-470.0,-25.47,1845.0,2025-02-28,47,cell_grid,False
FUND000063,KR518102001M,주식,10385.0,98.14,10581.0,2024-12-31,35,cell_grid,False
FUND000063,KR518102001M,단기대출및예금,104.0,0.98,10581.0,2024-12-31,35,cell_grid,False
FUND000063,KR518102001M,기타,93.0,0.88,10581.0,2024-12-31,35,cell_grid,False
FUND000085,KR5185450009,집합투자증권,1094.5,98.86,1107.1,2018-01-29,46,cell_grid,False
FUND000085,KR5185450009,단기대출및예금,1.6,0.14,1107.1,2018-01-29,46,cell_grid,False
FUND000085,KR5185450009,기타,11.1,1.0,1107.1,2018-01-29,46,cell_grid,False
FUND000015,KR5194450018,집합투자증권,90.0,99.73,90.0,2025-01-15,51,cell_grid,False
FUND000015,KR5194450018,단기대출및예금,0.0,0.27,90.0,2025-01-15,51,cell_grid,False
FUND000009,KR555202013M,주식,128264.0,96.49,132934.0,2025-03-10,35,pdf_text_rows,False
FUND000009,KR555202013M,단기대출및예금,234.0,0.18,132934.0,2025-03-10,35,pdf_text_rows,False
FUND000009,KR555202013M,기타,4436.0,3.34,132934.0,2025-03-10,35,pdf_text_rows,False
